,Directory,filename
0,E://,sharetransfer.xlsx
1,E://,Windows.iso
2,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$I9KI40Z.nfo
3,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$IBXR0TH.exe
4,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$IQ5Q7XM.txt
5,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$IY97WWF.nfo
6,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$IYZKVEO.exe
7,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$R9KI40Z.nfo
8,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$RBXR0TH.exe
9,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$RQ5Q7XM.txt
10,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$RY97WWF.nfo
11,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,$RYZKVEO.exe
12,E://$RECYCLE.BIN\S-1-5-21-1407469488-1779920274-2489413694-1001,desktop.ini
13,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,001-Chapter-1-Track-01.mp3
14,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,002-Chapter-1-Track-02.mp3
15,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,003-Chapter-1-Track-03.mp3
16,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,004-Chapter-1-Track-04.mp3
17,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,005-Chapter-1-Track-05.mp3
18,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,006-Chapter-1-Track-06.mp3
19,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,007-Chapter-1-Track-07.mp3
20,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,008-Chapter-1-Track-08.mp3
21,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,009-Chapter-1-Track-09.mp3
22,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,010-Chapter-1-Track-10.mp3
23,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,011-Chapter-1-Track-11.mp3
24,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,012-Chapter-1-Track-12.mp3
25,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,013-Chapter-1-Track-13.mp3
26,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,014-Chapter-1-Track-14.mp3
27,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,015-Chapter-1-Track-15.mp3
28,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,016-Chapter-1-Track-16.mp3
29,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,017-Chapter-1-Track-17.mp3
30,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,018-Chapter-1-Track-18.mp3
31,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,019-Chapter-1-Track-19.mp3
32,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,020-Chapter-1-Track-20.mp3
33,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,021-Chapter-1-Track-21.mp3
34,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,022-Chapter-1-Track-22.mp3
35,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,023-Chapter-1-Track-23.mp3
36,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,024-Chapter-1-Track-24.mp3
37,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,025-Chapter-1-Track-25.mp3
38,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-01,026-Chapter-1-Track-26.mp3
39,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,001-Chapter-2-Track-01.mp3
40,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,002-Chapter-2-Track-02.mp3
41,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,003-Chapter-2-Track-03.mp3
42,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,004-Chapter-2-Track-04.mp3
43,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,005-Chapter-2-Track-05.mp3
44,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,006-Chapter-2-Track-06.mp3
45,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,007-Chapter-2-Track-07.mp3
46,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,008-Chapter-2-Track-08.mp3
47,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,009-Chapter-2-Track-09.mp3
48,E://BAGAVAT GITA\CD.No.1-CH-(1 & 2)\chapter-02,010-Chapter-2-Track-10.mp3
49,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\01-Bagavad Gita-Ch-09,39-Bagavad Gita-Ch-09-Slo-(32 & 33)-01.mp3
50,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\01-Bagavad Gita-Ch-09,40-Bagavad Gita-Ch-09-Slo-34-01.mp3
51,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\01-Bagavad Gita-Ch-09,41-Bagavad Gita-Ch-09-Slo-34-02.mp3
52,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\01-Bagavad Gita-Ch-09,42-Bagavad Gita-Ch-09-Slo-34-03.mp3
53,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\01-Bagavad Gita-Ch-09,43-Bagavad Gita-Ch-09-Ends-Slo-34-04.mp3
54,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,01-Bagavad Gita-Ch-10-San Slo-01.mp3
55,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,02-Bagavad Gita-Ch-10-San Slo-02.mp3
56,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,03-Bagavad Gita-Ch-10-Slo-01-01.mp3
57,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,04-Bagavad Gita-Ch-10-Slo-02-01.mp3
58,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,05-Bagavad Gita-Ch-10-Slo-03-01.mp3
59,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,06-Bagavad Gita-Ch-10-Slo-03-02.mp3
60,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,07-Bagavad Gita-Ch-10-Slo-(04 & 05)-01.mp3
61,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,08-Bagavad Gita-Ch-10-Slo-(04 & 05)-02.mp3
62,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,09-Bagavad Gita-Ch-10-Slo-06-01.mp3
63,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,10-Bagavad Gita-Ch-10-Slo-07-01.mp3
64,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,11-Bagavad Gita-Ch-10-Slo-08-01.mp3
65,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,12-Bagavad Gita-Ch-10-Slo-09-01.mp3
66,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,13-Bagavad Gita-Ch-10-Slo-10-01.mp3
67,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,14-Bagavad Gita-Ch-10-Slo-11-01.mp3
68,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,15-Bagavad Gita-Ch-10-Slo-12-1st Half-01.mp3
69,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,16-Bagavad Gita-Ch-10-Slo-(12-2nd Half & 13)-01.mp3
70,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,17-Bagavad Gita-Ch-10-Slo-14-01.mp3
71,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,18-Bagavad Gita-Ch-10-Slo-15-01.mp3
72,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,19-Bagavad Gita-Ch-10-Slo-16-01.mp3
73,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,20-Bagavad Gita-Ch-10-Slo-17-01.mp3
74,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,21-Bagavad Gita-Ch-10-Slo-18-01.mp3
